year,amount,expenditure_type,source
2007-2008,216730559,actual,2009-2010 Budget
2008-2009,238329269,amended,2009-2010 Budget
2009-2010,240737419,approved,2009-2010 Budget
2010-2011,250607672,approved,2010-2011 Budget
2011-2012,267248292,approved,2011-2012 Budget
2012-2013,283874598,approved,2012-2013 Budget
2013-2014,295356461,approved,2013-2014 Budget
2014-2015,354943368,approved,2014-2015 Budget
2015-2016,372070249,approved,2015-2016 Budget
2016-2017,386573423,approved,2016-2017 Budget
2017-2018,402535817,approved,2017-2018 Budget
2018-2019,412279214,approved,2018-2019 Budget
2019-2020,434475745,approved,2019-2020 Budget

